SEZIONE,MASCHI,FEMMINE,TOTALE
1,29,20,49
2,35,39,74
3,23,32,55
4,17,24,41
5,27,21,48
6,35,45,80
7,75,61,136
8,18,15,33
9,48,33,81
10,33,35,68
11,43,31,74
