SEZIONE,MASCHI,FEMMINE,TOTALE
1,48,46,94
2,89,98,187
3,62,89,151
4,62,81,143
5,56,61,117
6,75,97,172
7,194,176,370
8,32,26,58
9,121,100,221
10,87,102,189
11,98,102,200
